#{"t_start": 1733087430.6528745, "env_id": "ALE/SpaceInvaders-v5"}
r,l,t
135.0,297,1380.694609
135.0,504,1383.520781
120.0,420,1385.897445
105.0,290,1387.525027
455.0,853,1392.274509
100.0,390,1394.446576
210.0,638,1398.007777
180.0,509,1400.80587
120.0,478,1403.499594
410.0,590,1406.767627
155.0,454,1409.299487
415.0,605,1412.655966
95.0,410,1414.968923
460.0,712,1418.938327
180.0,561,1422.070683
210.0,484,1424.769856
105.0,293,1426.402855
210.0,617,1429.859204
60.0,289,1431.499709
65.0,361,1433.519953
110.0,579,1436.739958
110.0,343,1438.678817
155.0,546,1441.712297
100.0,301,1443.360298
210.0,640,1446.967025
180.0,485,1449.665664
415.0,629,1453.150087
155.0,422,1455.51854
210.0,521,1458.43385
215.0,620,1462.006634
80.0,381,1464.153149
315.0,658,1467.886315
135.0,347,1469.8455
80.0,433,1472.283991
290.0,680,1476.13898
100.0,365,1478.231606
180.0,539,1481.272839
180.0,396,1483.529171
155.0,536,1486.579765
215.0,661,1490.250013
180.0,538,1493.269727
225.0,665,1496.998763
130.0,374,1499.085424
60.0,291,1500.725389
180.0,410,1503.027979
210.0,472,1505.684172
180.0,528,1508.612672
90.0,441,1511.081917
260.0,651,1514.742269
90.0,290,1516.333361
205.0,611,1519.796134
260.0,606,1523.194673
120.0,514,1526.068117
210.0,374,1528.187763
210.0,496,1530.986756
240.0,643,1534.549925
215.0,652,1538.265404
140.0,382,1540.372425
65.0,292,1542.019209
210.0,548,1545.142949
70.0,417,1547.476164
545.0,793,1551.973189
425.0,678,1555.795603
135.0,516,1558.699055
105.0,410,1561.003048
180.0,547,1564.085549
210.0,620,1567.624961
180.0,528,1570.593505
240.0,701,1574.515573
125.0,363,1576.573581
225.0,633,1580.098581
115.0,482,1582.789093
210.0,523,1585.696137
225.0,610,1589.144209
135.0,374,1591.218385
215.0,604,1594.664268
445.0,732,1598.853745
155.0,418,1601.223601
225.0,613,1604.687201
260.0,660,1608.341752
180.0,529,1611.356316
80.0,296,1613.061771
285.0,678,1616.880762
55.0,341,1618.835542
215.0,634,1622.395624
490.0,801,1626.82661
165.0,494,1629.64577
425.0,642,1633.237933
180.0,379,1635.403046
150.0,379,1637.595816
140.0,405,1639.894092
210.0,633,1643.542033
290.0,725,1647.701552
225.0,650,1651.466478
225.0,662,1655.238184
10.0,318,1657.070027
410.0,575,1660.289952
120.0,476,1663.036785
180.0,556,1666.212773
155.0,460,1668.846827
135.0,494,1671.70866
135.0,470,1674.364607
210.0,630,1677.938368
210.0,473,1680.742173
125.0,310,1682.52898
210.0,508,1685.473164
210.0,567,1688.758381
180.0,500,1691.663483
180.0,538,1694.687087
240.0,622,1698.280212
225.0,669,1702.111993
465.0,734,1706.32709
240.0,658,1710.066379
320.0,1013,1715.8522
260.0,620,1719.404324
425.0,649,1723.08101
100.0,360,1725.138789
330.0,849,1729.987038
105.0,320,1731.796306
210.0,512,1734.692882
190.0,502,1737.561997
260.0,554,1740.793064
290.0,658,1744.615256
65.0,286,1746.300949
155.0,405,1748.620583
410.0,613,1752.186258
110.0,484,1754.972603
290.0,870,1759.976394
240.0,639,1763.675617
210.0,551,1766.919268
210.0,487,1769.75819
135.0,481,1772.548418
435.0,1075,1778.731987
105.0,476,1781.494054
185.0,560,1784.713713
195.0,401,1787.039476
330.0,1009,1792.832044
210.0,484,1795.597519
215.0,608,1799.091358
355.0,527,1802.156634
140.0,384,1804.38718
210.0,449,1807.049121
740.0,1013,1812.845637
215.0,638,1816.540449
225.0,445,1819.09169
240.0,616,1822.638376
210.0,571,1825.993716
135.0,368,1828.14414
225.0,544,1831.294401
225.0,627,1834.931691
200.0,458,1837.595149
230.0,672,1841.463398
210.0,596,1844.926541
185.0,505,1847.897661
285.0,586,1851.283566
210.0,588,1854.642028
150.0,416,1857.034767
305.0,652,1860.778791
155.0,349,1862.819213
180.0,444,1865.346872
155.0,381,1867.63002
215.0,608,1871.153898
595.0,929,1876.534183
185.0,434,1879.042567
240.0,650,1882.894799
240.0,580,1886.305222
335.0,763,1890.777752
225.0,618,1894.304721
210.0,602,1897.800637
210.0,488,1900.627386
285.0,665,1904.457162
720.0,1159,1911.208237
210.0,525,1914.2218
90.0,291,1915.893806
185.0,619,1919.469841
80.0,280,1921.064811
230.0,805,1925.756784
125.0,293,1927.46033
155.0,386,1929.709049
55.0,281,1931.343243
210.0,614,1934.894856
195.0,457,1937.577498
215.0,592,1941.044521
160.0,456,1943.683075
530.0,704,1947.750998
210.0,608,1951.222194
135.0,429,1953.72685
80.0,289,1955.369848
295.0,593,1958.784699
500.0,889,1963.870759
415.0,623,1967.468758
565.0,907,1972.738911
135.0,482,1975.491738
180.0,490,1978.348401
190.0,504,1981.260846
635.0,889,1986.398693
90.0,322,1988.258885
215.0,592,1991.644192
180.0,418,1994.054609
210.0,603,1997.584605
140.0,474,2000.343543
180.0,401,2002.722044
255.0,614,2006.340832
215.0,553,2009.605089
55.0,279,2011.201713
265.0,713,2015.331803
180.0,541,2018.460995
155.0,466,2021.113957
165.0,527,2024.187644
210.0,539,2027.34419
225.0,681,2031.311802
460.0,684,2035.296966
105.0,346,2037.335789
180.0,482,2040.1461
100.0,374,2042.331211
410.0,620,2045.960498
270.0,718,2050.107941
225.0,619,2053.716084
135.0,485,2056.545144
75.0,295,2058.267217
290.0,676,2062.269668
500.0,952,2067.829486
215.0,627,2071.481046
215.0,691,2075.548729
305.0,855,2080.556341
385.0,603,2084.135195
125.0,408,2086.543169
240.0,597,2090.054084
225.0,596,2093.475267
260.0,574,2096.830492
210.0,512,2099.841157
360.0,742,2104.160044
215.0,602,2107.727185
85.0,282,2109.414539
210.0,581,2112.825705
225.0,618,2116.470398
45.0,297,2118.202717
160.0,472,2120.985697
230.0,621,2124.647992
285.0,820,2129.478353
155.0,486,2132.340201
180.0,473,2135.109317
245.0,613,2138.737951
135.0,474,2141.530537
110.0,383,2143.73455
105.0,354,2145.831172
275.0,736,2150.135527
210.0,578,2153.517059
500.0,660,2157.407251
335.0,821,2162.217851
135.0,368,2164.355608
35.0,255,2165.844119
210.0,498,2168.776491
210.0,585,2172.198671
225.0,623,2175.816381
185.0,503,2178.748648
260.0,664,2182.617298
295.0,746,2186.970341
220.0,592,2190.438814
100.0,420,2192.904802
240.0,618,2196.451153
210.0,493,2199.386927
210.0,649,2203.153751
80.0,277,2204.77576
165.0,354,2206.857295
210.0,622,2210.518987
790.0,1035,2216.609397
210.0,501,2219.529539
100.0,288,2221.212858
225.0,618,2224.814928
210.0,613,2228.405262
210.0,508,2231.399546
80.0,288,2233.075902
80.0,275,2234.67616
80.0,279,2236.324287
210.0,507,2239.264111
105.0,286,2240.980675
330.0,790,2245.664021
95.0,389,2247.969943
225.0,634,2251.716418
365.0,663,2255.615589
210.0,631,2259.405838
150.0,387,2261.682031
110.0,434,2264.246127
215.0,570,2267.585894
65.0,287,2269.292173
135.0,372,2271.523034
330.0,764,2276.059753
240.0,510,2279.107486
240.0,623,2282.800124
155.0,427,2285.359777
210.0,591,2288.846604
255.0,699,2292.981866
60.0,281,2294.627986
210.0,538,2297.730169
260.0,622,2301.425521
180.0,390,2303.713857
290.0,692,2307.791164
260.0,693,2311.888908
80.0,264,2313.450814
150.0,367,2315.578197
290.0,590,2319.049489
535.0,598,2322.550939
215.0,640,2326.290137
290.0,797,2331.01379
100.0,380,2333.296053
155.0,374,2335.497437
210.0,484,2338.429379
210.0,540,2341.576909
310.0,696,2345.691141
250.0,624,2349.390976
100.0,278,2351.055388
210.0,529,2354.187885
225.0,630,2357.869293
240.0,610,2361.445482
215.0,645,2365.249464
180.0,536,2368.410626
285.0,622,2372.131465
210.0,390,2374.427791
155.0,398,2376.755908
150.0,454,2379.442184
260.0,613,2383.073844
800.0,1354,2391.166574
215.0,603,2394.807938
260.0,588,2398.373623
80.0,286,2400.074353
290.0,610,2403.691788
125.0,366,2405.88355
210.0,494,2408.789714
105.0,351,2410.867549
160.0,458,2413.646281
210.0,435,2416.209764
155.0,412,2418.657189
155.0,326,2420.577569
75.0,256,2422.092151
210.0,482,2424.981541
135.0,356,2427.132312
275.0,725,2431.461097
210.0,622,2435.182666
210.0,587,2438.664318
125.0,417,2441.1588
210.0,591,2444.745985
80.0,325,2446.696678
210.0,512,2449.754737
65.0,279,2451.428312
155.0,466,2454.263928
150.0,355,2456.394916
210.0,495,2459.333517
230.0,619,2463.113663
210.0,506,2466.128909
105.0,318,2468.072275
215.0,576,2471.511896
100.0,282,2473.219658
630.0,1011,2479.290937
440.0,747,2483.777287
215.0,561,2487.212552
210.0,611,2490.919705
285.0,811,2495.769715
150.0,303,2497.549587
325.0,533,2500.740514
215.0,554,2504.050227
225.0,593,2507.637547
240.0,622,2511.408507
330.0,652,2515.356501
100.0,350,2517.443923
225.0,534,2520.675582
300.0,681,2524.750368
155.0,443,2527.43787
255.0,632,2531.24782
225.0,526,2534.415179
535.0,694,2538.549484
185.0,490,2541.556984
260.0,634,2545.398971
150.0,410,2547.893159
255.0,555,2551.22796
210.0,495,2554.212685
185.0,407,2556.663781
210.0,357,2558.806349
295.0,633,2562.586291
80.0,309,2564.45779
210.0,556,2567.859308
225.0,540,2571.139467
210.0,524,2574.314767
240.0,569,2577.787859
260.0,684,2581.922904
285.0,666,2585.935865
215.0,579,2589.459681
160.0,487,2592.428476
195.0,578,2595.948507
215.0,611,2599.644649
65.0,273,2601.291592
335.0,783,2606.01813
255.0,647,2609.912801
315.0,704,2614.21166
210.0,433,2616.843837
210.0,507,2619.913836
210.0,668,2623.963128
240.0,592,2627.5518
120.0,414,2630.087704
260.0,727,2634.509733
215.0,545,2637.835866
225.0,574,2641.375968
240.0,558,2644.694648
180.0,442,2647.40284
285.0,609,2651.095961
155.0,413,2653.604347
180.0,472,2656.460802
285.0,636,2660.336483
240.0,614,2664.091523
135.0,412,2666.617728
210.0,563,2670.048613
410.0,921,2675.647097
125.0,350,2677.820826
305.0,684,2681.972529
210.0,508,2685.103432
225.0,563,2688.570889
225.0,508,2691.716656
210.0,493,2694.748924
465.0,668,2698.850489
290.0,627,2702.656043
125.0,300,2704.491668
160.0,507,2707.553666
260.0,677,2711.694091
255.0,590,2715.276071
365.0,927,2720.901194
210.0,599,2724.57342
215.0,494,2727.57214
240.0,610,2731.336099
125.0,377,2733.629512
145.0,496,2736.683521
210.0,593,2740.298493
235.0,537,2743.582377
285.0,682,2747.769125
210.0,518,2750.977958
225.0,605,2754.708506
545.0,708,2758.979323
210.0,595,2762.59015
315.0,676,2766.756644
130.0,324,2768.770809
210.0,532,2772.025513
255.0,633,2775.878807
210.0,534,2779.168337
375.0,929,2784.780545
315.0,714,2789.064288
210.0,498,2792.139654
180.0,465,2794.95504
180.0,504,2798.034398
210.0,529,2801.233959
155.0,324,2803.185589
210.0,470,2806.012265
155.0,286,2807.746046
210.0,556,2811.120693
210.0,574,2814.592467
245.0,604,2818.243121
125.0,284,2819.979824
225.0,587,2823.541901
515.0,806,2828.414181
210.0,473,2831.310211
210.0,478,2834.203796
230.0,568,2837.620799
360.0,727,2842.030047
210.0,526,2845.217328
180.0,360,2847.407847
145.0,368,2849.631924
260.0,735,2854.074984
565.0,846,2859.244027
210.0,540,2862.565944
590.0,1016,2868.751104
210.0,530,2872.034775
135.0,462,2874.885448
515.0,617,2878.685225
225.0,570,2882.16274
210.0,508,2885.30221
210.0,471,2888.215568
210.0,582,2891.787571
155.0,366,2894.051023
155.0,382,2896.397383
210.0,502,2899.531262
135.0,453,2902.305341
210.0,507,2905.437628
210.0,524,2908.66098
590.0,856,2913.869584
215.0,538,2917.138306
215.0,514,2920.360033
120.0,469,2923.204346
290.0,766,2927.875793
290.0,584,2931.399635
215.0,536,2934.692501
65.0,272,2936.321578
50.0,264,2937.918449
210.0,528,2941.169593
475.0,1022,2947.435477
210.0,374,2949.698585
210.0,510,2952.845531
185.0,466,2955.677263
215.0,548,2959.057777
60.0,255,2960.598732
180.0,589,2964.254637
235.0,486,2967.308986
180.0,390,2969.735096
210.0,481,2972.760668
210.0,501,2975.881754
150.0,523,2979.196021
180.0,487,2982.167728
180.0,471,2985.126185
410.0,533,2988.440998
355.0,705,2992.829376
215.0,564,2996.320657
530.0,702,3000.707916
45.0,281,3002.451265
215.0,536,3005.790928
125.0,286,3007.603926
210.0,485,3010.602329
135.0,374,3012.935841
210.0,504,3016.089642
240.0,527,3019.395985
100.0,285,3021.21029
225.0,523,3024.477209
225.0,559,3027.940552
180.0,381,3030.289098
155.0,348,3032.489823
775.0,858,3037.84423
210.0,601,3041.621679
125.0,280,3043.376721
125.0,287,3045.173099
210.0,480,3048.180156
210.0,498,3051.311303
225.0,582,3054.985935
355.0,508,3058.176111
260.0,608,3061.949459
125.0,289,3063.747891
185.0,435,3066.422283
290.0,667,3070.618073
255.0,515,3073.855006
430.0,532,3077.213689
210.0,508,3080.37612
170.0,523,3083.708259
225.0,618,3087.58839
210.0,480,3090.559725
105.0,391,3092.963568
515.0,788,3097.772596
560.0,1033,3104.146017
210.0,482,3107.155761
100.0,277,3108.893886
80.0,283,3110.620684
225.0,599,3114.315529
65.0,271,3115.97981
210.0,421,3118.54838
80.0,267,3120.187174
125.0,378,3122.499598
135.0,451,3125.291781
155.0,457,3128.094388
290.0,659,3132.15059
155.0,388,3134.555311
260.0,690,3138.817483
210.0,518,3142.03709
100.0,276,3143.749317
210.0,513,3146.930628
160.0,387,3149.308701
165.0,456,3152.124781
330.0,771,3156.88239
290.0,861,3162.160785
135.0,445,3164.896189
240.0,707,3169.26793
100.0,305,3171.171167
30.0,310,3173.09831
210.0,484,3176.079093
125.0,390,3178.47886
180.0,452,3181.310272
180.0,521,3184.524203
440.0,618,3188.36879
80.0,287,3190.158979
410.0,648,3194.151418
240.0,723,3198.606507
315.0,654,3202.675029
240.0,548,3206.04952
225.0,643,3210.026907
240.0,614,3213.754504
340.0,850,3218.970576
150.0,355,3221.126282
125.0,372,3223.424888
210.0,491,3226.466305
155.0,376,3228.785059
180.0,520,3231.992475
210.0,560,3235.444568
225.0,561,3238.974684
105.0,478,3241.969591
210.0,504,3245.110498
210.0,501,3248.161096
210.0,487,3251.128934
210.0,469,3254.021161
240.0,640,3257.931994
440.0,590,3261.548157
345.0,702,3265.859485
210.0,398,3268.322467
320.0,647,3272.280686
140.0,375,3274.578881
180.0,488,3277.600147
65.0,285,3279.333718
425.0,812,3284.343421
35.0,275,3286.042221
135.0,372,3288.36935
155.0,416,3290.937449
185.0,536,3294.251224
125.0,347,3296.442176
225.0,472,3299.397212
100.0,290,3301.191549
210.0,452,3303.994636
290.0,560,3307.508946
130.0,289,3309.335832
60.0,299,3311.190701
150.0,466,3314.131488
195.0,458,3316.990683
175.0,431,3319.688131
70.0,253,3321.278103
225.0,552,3324.6931
180.0,512,3327.901451
75.0,271,3329.566777
225.0,637,3333.521313
80.0,285,3335.338631
210.0,383,3337.711987
215.0,466,3340.650946
130.0,417,3343.255145
215.0,516,3346.476702
230.0,557,3349.96746
225.0,617,3353.855185
155.0,349,3356.055595
215.0,575,3359.693276
35.0,266,3361.368876
90.0,300,3363.245741
155.0,368,3365.524384
350.0,639,3369.552797
210.0,514,3372.792865
180.0,468,3375.701573
285.0,551,3379.179979
220.0,502,3382.309626
210.0,525,3385.596717
210.0,520,3388.86891
390.0,922,3394.640476
425.0,828,3399.876792
180.0,484,3402.903251
210.0,487,3405.977191
330.0,688,3410.298078
210.0,422,3412.953931
155.0,434,3415.714571
80.0,287,3417.54845
240.0,469,3420.509141
320.0,608,3424.363004
125.0,325,3426.399892
210.0,424,3429.101509
210.0,533,3432.500057
180.0,448,3435.266773
240.0,526,3438.575776
155.0,284,3440.348193
260.0,544,3443.779164
125.0,275,3445.520924
210.0,420,3448.168256
225.0,489,3451.262597
285.0,596,3455.100083
345.0,636,3459.071477
485.0,714,3463.602803
425.0,527,3466.926723
415.0,523,3470.250066
125.0,377,3472.631563
180.0,345,3474.797814
225.0,512,3478.037401
310.0,615,3481.897753
210.0,371,3484.242856
135.0,304,3486.17443
225.0,522,3489.500221
180.0,469,3492.480504
210.0,453,3495.369058
345.0,668,3499.59223
210.0,511,3502.825249
240.0,419,3505.483697
425.0,501,3508.667788
180.0,385,3511.102596
140.0,439,3513.891137
180.0,425,3516.580209
