#{"t_start": 1733286343.4925592, "env_id": "Pusher-v5"}
r,l,t
-92.513441,100,33.084527
-73.561327,100,33.129363
-86.527542,100,33.172742
-86.196168,100,33.215993
-97.37364,100,33.260957
-98.180512,100,33.304149
-93.322531,100,33.348658
-86.811737,100,33.915907
-87.731123,100,33.96092
-91.600458,100,34.004166
-89.183808,100,34.048957
-83.622782,100,34.092121
-87.055984,100,34.137136
-90.825912,100,34.180495
-108.893874,100,34.223815
-83.464715,100,34.269149
-79.928972,100,34.312225
-89.85823,100,34.356793
-92.500938,100,34.399954
-83.187746,100,34.444786
-88.320666,100,34.487813
-84.388238,100,34.530773
-86.852881,100,34.575661
-79.483211,100,34.619196
-84.476443,100,34.664338
-83.232556,100,34.707675
-86.360882,100,34.752249
-84.793377,100,35.302999
-104.844525,100,35.348711
-81.438523,100,35.404054
-84.043974,100,35.452727
-81.612708,100,35.496338
-86.971637,100,35.539796
-80.72884,100,35.585142
-94.711766,100,35.628618
-88.420234,100,35.673397
-83.57982,100,35.716863
-89.311155,100,35.761768
-88.388762,100,35.804994
-86.128328,100,35.848019
-77.962665,100,35.892847
-78.858982,100,35.936032
-84.830972,100,35.980491
-82.329827,100,36.025229
-87.554136,100,36.071464
-77.148534,100,36.114807
-85.736383,100,36.157641
-89.466513,100,36.202508
-81.409721,100,36.765981
-84.700395,100,36.81302
-81.790739,100,36.857975
-89.033879,100,36.904123
-94.56974,100,36.948054
-80.229902,100,36.993848
-85.132689,100,37.037962
-88.340168,100,37.083572
-83.266334,100,37.127412
-76.191239,100,37.175016
-85.428094,100,37.222906
-87.523611,100,37.268836
-78.942384,100,37.315485
-88.053411,100,37.360113
-82.955217,100,37.405411
-77.129299,100,37.449041
-77.955537,100,37.494137
-78.584043,100,37.537755
-101.443967,100,37.58157
-81.289157,100,37.629283
-89.39807,100,38.200676
-86.82076,100,38.247185
-87.754163,100,38.293224
-81.568602,100,38.340576
-85.706178,100,38.385991
-82.268108,100,38.43351
-85.186382,100,38.47955
-87.79247,100,38.52699
-79.498163,100,38.572509
-86.432774,100,38.619728
-90.277033,100,38.665541
-93.931887,100,38.71267
-98.707915,100,38.75844
-79.915495,100,38.80558
-83.97196,100,38.851424
-87.784946,100,38.897336
-87.72633,100,38.944453
-85.021123,100,38.990152
-79.861025,100,39.037446
-75.109279,100,39.083128
-74.790998,100,39.63318
-78.458994,100,39.677002
-84.252039,100,39.722085
-79.52408,100,39.765945
-86.933104,100,39.809406
-76.03773,100,39.854152
-76.032082,100,39.897316
-101.750108,100,39.941937
-83.687282,100,39.985167
-92.356581,100,40.029338
-96.125343,100,40.072755
-80.30272,100,40.116055
-88.362939,100,40.161103
