#{"t_start": 1733160959.42986, "env_id": "ALE/SpaceInvaders-v5"}
r,l,t
85.0,275,1170.820566
210.0,526,1173.679624
420.0,868,1178.34698
215.0,543,1181.367869
180.0,438,1183.792676
135.0,304,1185.462785
155.0,494,1188.153514
105.0,294,1189.736128
270.0,1019,1195.311863
45.0,300,1197.031544
210.0,660,1200.586565
355.0,605,1203.90399
135.0,452,1206.329327
700.0,768,1210.518879
155.0,463,1213.068848
155.0,373,1215.091968
155.0,589,1218.358143
355.0,1018,1223.892603
105.0,329,1225.703543
225.0,648,1229.237108
130.0,392,1231.409817
255.0,730,1235.467725
125.0,408,1237.694249
155.0,497,1240.383399
90.0,307,1242.087646
180.0,455,1244.570405
225.0,597,1247.833476
125.0,297,1249.48965
125.0,567,1252.570387
225.0,577,1255.713909
260.0,615,1259.10452
135.0,506,1261.916041
215.0,683,1265.618005
210.0,548,1268.59012
65.0,362,1270.546542
65.0,370,1272.608993
120.0,421,1274.922041
120.0,561,1278.008831
65.0,374,1280.06213
210.0,525,1282.968495
460.0,725,1286.966704
180.0,541,1289.943853
230.0,579,1293.144516
125.0,648,1296.657888
210.0,554,1299.697424
410.0,617,1303.091718
210.0,603,1306.464801
60.0,379,1308.557331
65.0,271,1310.063812
180.0,502,1312.843121
160.0,542,1315.863613
135.0,459,1318.393366
210.0,586,1321.683047
210.0,544,1324.725061
100.0,463,1327.277962
210.0,480,1329.95245
210.0,639,1333.489387
335.0,588,1336.814994
410.0,726,1340.823908
145.0,459,1343.406321
300.0,778,1347.697413
210.0,559,1350.814063
135.0,297,1352.450638
135.0,504,1355.231076
120.0,420,1357.57318
105.0,290,1359.189066
455.0,853,1363.926404
100.0,390,1366.103901
210.0,638,1369.660543
180.0,509,1372.464468
120.0,478,1375.158186
410.0,590,1378.415924
155.0,454,1380.944506
415.0,605,1384.313222
95.0,410,1386.605509
460.0,712,1390.565798
180.0,561,1393.674696
210.0,484,1396.348969
105.0,293,1397.968633
210.0,617,1401.402588
60.0,289,1403.035599
65.0,361,1405.051191
110.0,579,1408.259255
110.0,343,1410.189879
155.0,546,1413.22249
100.0,301,1414.860852
210.0,640,1418.456815
180.0,485,1421.135722
415.0,629,1424.626713
155.0,422,1426.991204
210.0,521,1429.879429
215.0,620,1433.413551
80.0,381,1435.527102
315.0,658,1439.199367
135.0,347,1441.129886
80.0,433,1443.532623
290.0,680,1447.306268
100.0,365,1449.35512
180.0,539,1452.339443
180.0,396,1454.55858
155.0,536,1457.570732
215.0,661,1461.218466
180.0,538,1464.248916
225.0,665,1467.957
130.0,374,1470.055937
60.0,291,1471.691275
180.0,410,1473.988854
210.0,472,1476.661123
180.0,528,1479.578978
90.0,441,1482.040438
260.0,651,1485.707641
90.0,290,1487.303211
205.0,611,1490.776356
260.0,606,1494.196106
120.0,514,1497.070472
210.0,374,1499.201086
210.0,496,1502.01246
240.0,643,1505.589186
215.0,652,1509.320592
140.0,382,1511.443394
65.0,292,1513.107733
210.0,548,1516.179826
70.0,417,1518.509181
545.0,793,1523.006515
425.0,678,1526.797066
135.0,516,1529.705331
105.0,410,1532.013915
180.0,547,1535.089227
210.0,620,1538.614381
180.0,528,1541.564739
240.0,701,1545.482708
125.0,363,1547.552329
225.0,633,1551.090699
115.0,482,1553.783021
210.0,523,1556.691499
225.0,610,1560.119061
135.0,374,1562.20275
215.0,604,1565.66548
445.0,732,1569.824267
155.0,418,1572.175122
225.0,613,1575.64611
260.0,660,1579.318667
180.0,529,1582.351604
80.0,296,1584.072989
285.0,678,1587.886188
55.0,341,1589.841062
215.0,634,1593.416131
490.0,801,1597.840812
165.0,494,1600.660463
425.0,642,1604.260368
180.0,379,1606.413757
150.0,379,1608.603726
140.0,405,1610.908365
210.0,633,1614.554136
290.0,725,1618.684624
225.0,650,1622.405362
225.0,662,1626.13622
10.0,318,1627.945805
410.0,575,1631.111829
120.0,476,1633.823519
180.0,556,1636.97778
155.0,460,1639.5807
135.0,494,1642.412592
135.0,470,1645.061343
210.0,630,1648.595748
210.0,473,1651.38574
125.0,310,1653.171035
210.0,508,1656.105151
210.0,567,1659.36513
180.0,500,1662.272133
180.0,538,1665.288472
240.0,622,1668.862494
225.0,669,1672.69019
465.0,734,1676.891576
240.0,658,1680.612501
320.0,1013,1686.377984
260.0,620,1689.948843
425.0,649,1693.636873
100.0,360,1695.706451
330.0,849,1700.574334
105.0,320,1702.395047
210.0,512,1705.309307
190.0,502,1708.194037
260.0,554,1711.415182
290.0,658,1715.224527
65.0,286,1716.899267
155.0,405,1719.204594
410.0,613,1722.729688
110.0,484,1725.493993
290.0,870,1730.448715
240.0,639,1734.122175
210.0,551,1737.331564
210.0,487,1740.146692
135.0,481,1742.922542
435.0,1075,1749.057331
105.0,476,1751.793848
185.0,560,1754.994917
195.0,401,1757.307518
330.0,1009,1763.088511
210.0,484,1765.885737
215.0,608,1769.389208
355.0,527,1772.455643
140.0,384,1774.676531
210.0,449,1777.338363
740.0,1013,1783.122025
215.0,638,1786.826492
225.0,445,1789.382318
240.0,616,1792.916691
210.0,571,1796.274438
135.0,368,1798.415884
225.0,544,1801.547945
225.0,627,1805.184857
200.0,458,1807.841503
230.0,672,1811.706104
210.0,596,1815.161098
185.0,505,1818.135656
285.0,586,1821.515561
210.0,588,1824.88157
150.0,416,1827.284618
305.0,652,1831.043977
155.0,349,1833.084664
180.0,444,1835.614732
155.0,381,1837.899963
215.0,608,1841.420271
595.0,929,1846.806677
185.0,434,1849.310304
240.0,650,1853.165622
240.0,580,1856.58405
335.0,763,1861.060459
225.0,618,1864.59557
210.0,602,1868.100569
210.0,488,1870.926503
285.0,665,1874.781681
720.0,1159,1881.565102
210.0,525,1884.59996
90.0,291,1886.274991
185.0,619,1889.866185
80.0,280,1891.475705
230.0,805,1896.182554
125.0,293,1897.890774
155.0,386,1900.151947
55.0,281,1901.801896
210.0,614,1905.363793
195.0,457,1908.060697
215.0,592,1911.561168
160.0,456,1914.224867
530.0,704,1918.347088
210.0,608,1921.866318
135.0,429,1924.397803
80.0,289,1926.055508
295.0,593,1929.500587
500.0,889,1934.639255
415.0,623,1938.285167
565.0,907,1943.62067
135.0,482,1946.413254
180.0,490,1949.306345
190.0,504,1952.233034
635.0,889,1957.423102
90.0,322,1959.293891
215.0,592,1962.721892
180.0,418,1965.15872
210.0,603,1968.716101
140.0,474,1971.48022
180.0,401,1973.856823
255.0,614,1977.472787
215.0,553,1980.762884
55.0,279,1982.371192
265.0,713,1986.534489
180.0,541,1989.685498
155.0,466,1992.3495
165.0,527,1995.433675
210.0,539,1998.584051
225.0,681,2002.572074
460.0,684,2006.582975
105.0,346,2008.637077
180.0,482,2011.449349
100.0,374,2013.64995
